comment_likes | id | uuid | nullable=NO | default=gen_random_uuid()
comment_likes | user_id | uuid | nullable=NO | default=-
comment_likes | comment_id | uuid | nullable=NO | default=-
comment_likes | created_at | timestamp with time zone | nullable=YES | default=now()
comments | id | uuid | nullable=NO | default=uuid_generate_v4()
comments | user_id | uuid | nullable=YES | default=-
comments | post_id | uuid | nullable=YES | default=-
comments | content | text | nullable=NO | default=-
comments | created_at | timestamp with time zone | nullable=YES | default=now()
comments | parent_id | uuid | nullable=YES | default=-
comments | total_likes | bigint | nullable=NO | default='0'::bigint
dev_blog | id | uuid | nullable=NO | default=gen_random_uuid()
dev_blog | title | text | nullable=NO | default=-
dev_blog | slug | text | nullable=NO | default=-
dev_blog | content | text | nullable=NO | default=-
dev_blog | images | ARRAY | nullable=YES | default=-
dev_blog | features | ARRAY | nullable=YES | default=-
dev_blog | tags | ARRAY | nullable=YES | default=-
dev_blog | created_at | timestamp with time zone | nullable=YES | default=now()
dev_blog | updated_at | timestamp with time zone | nullable=YES | default=now()
dev_blog | author_id | uuid | nullable=YES | default=-
dev_blog | thumbnail | text | nullable=YES | default=-
follows | id | uuid | nullable=NO | default=uuid_generate_v4()
follows | user_id | uuid | nullable=YES | default=-
follows | following_id | uuid | nullable=YES | default=-
follows | created_at | timestamp with time zone | nullable=YES | default=now()
likes | id | uuid | nullable=NO | default=uuid_generate_v4()
likes | user_id | uuid | nullable=YES | default=-
likes | post_id | uuid | nullable=YES | default=-
likes | created_at | timestamp with time zone | nullable=YES | default=now()
movie_genre_stats | 28 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | user_id | uuid | nullable=NO | default=-
movie_genre_stats | 12 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 16 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 35 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 80 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 99 | bigint | nullable=NO | default='0'::bigint
movie_genre_stats | 18 | bigint | nullable=NO | default='0'::bigint
